"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arid5a2",0.000416809123175997,0.346234678146847,0.882,0.576,1,"18","Arid5a"
"Hmgb31",0.000421133530522481,0.354779909915629,0.294,0.11,1,"18","Hmgb3"
"Nupr14",0.00042179396408583,0.338693993135197,0.441,0.205,1,"18","Nupr1"
"Arpc1a",0.00043079179190714,0.598746283673046,0.618,0.362,1,"18","Arpc1a"
"Nr4a23",0.00043374257092921,0.369475323631405,0.794,0.57,1,"18","Nr4a2"
"Dstn4",0.000439880018518442,0.474973104832539,0.765,0.475,1,"18","Dstn"
"Ccnl11",0.000442357200507042,0.391753579893446,1,0.674,1,"18","Ccnl1"
"Nampt3",0.000468155910025025,0.308346951978634,0.441,0.198,1,"18","Nampt"
"Dhrs1",0.000475067507852465,0.487740520148723,0.5,0.268,1,"18","Dhrs1"
"Eif1a3",0.000480837596724111,0.445488006634479,0.735,0.426,1,"18","Eif1a"
"Ckb5",0.000500526908572516,0.369715243529485,0.647,0.338,1,"18","Ckb"
"Arl4a2",0.000512657956128362,0.381633576491176,0.588,0.3,1,"18","Arl4a"
"Ckap43",0.000526635730701722,0.348215831980336,0.353,0.147,1,"18","Ckap4"
"Tcn2",0.000528803884557932,0.325160046365972,0.294,0.113,1,"18","Tcn2"
"Bcl34",0.00053865591048326,0.304150473308833,0.647,0.337,1,"18","Bcl3"
"Rgl13",0.000542477952687718,0.327849546509485,0.441,0.198,1,"18","Rgl1"
"Ssrp12",0.000547698179540257,0.442197973088618,0.559,0.285,1,"18","Ssrp1"
"Gngt24",0.000553158398867511,0.361022385805802,0.559,0.305,1,"18","Gngt2"
"Tnfaip26",0.000568575536478678,0.70160962076817,0.529,0.278,1,"18","Tnfaip2"
"Ddx1",0.00057966577115562,0.307339135954478,0.324,0.132,1,"18","Ddx1"
"Inf2",0.000610792777450646,0.251677467844959,0.265,0.093,1,"18","Inf2"
"Ctsh7",0.000619101018354566,0.26999320807169,0.676,0.355,1,"18","Ctsh"
"Parp142",0.000659989395734723,0.309238212174714,0.353,0.15,1,"18","Parp14"
