"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp6v0e1",3.37210055812412e-28,0.399154142656102,0.98,0.785,9.45031181414284e-24,"11","Atp6v0e"
"Mapk3",4.17651571457117e-28,0.282562280872923,0.615,0.267,1.17046852900857e-23,"11","Mapk3"
"Gfer",4.95699609308575e-28,0.28052214957866,0.385,0.137,1.38919815508728e-23,"11","Gfer"
"Dctn2",5.40480613459038e-28,0.308771040464583,0.619,0.28,1.51469691921895e-23,"11","Dctn2"
"Map3k14",5.47741375294951e-28,0.372942151069664,0.77,0.397,1.5350452042641e-23,"11","Map3k14"
"M6pr",1.01712931602398e-27,0.441592934060365,0.857,0.512,2.85050490815721e-23,"11","M6pr"
"Gpd2",1.16517297739103e-27,0.33607606062386,0.553,0.239,3.26539726913835e-23,"11","Gpd2"
"Bri32",1.54457792595743e-27,0.430451828037373,0.877,0.538,4.32867963749568e-23,"11","Bri3"
"Ppp4r21",1.63350847792438e-27,0.397987515082676,0.791,0.422,4.57790750938308e-23,"11","Ppp4r2"
"Tubb52",1.90014569400548e-27,0.572327717954878,0.885,0.588,5.32515830745037e-23,"11","Tubb5"
"Ehbp1l1",2.32266142159727e-27,0.327658980360914,0.525,0.222,6.50925863402635e-23,"11","Ehbp1l1"
"Snap232",2.49698055746908e-27,0.330688898735149,0.668,0.31,6.99778801230711e-23,"11","Snap23"
"B3gnt51",2.86045683231936e-27,0.299570434775457,0.32,0.104,8.01643027257502e-23,"11","B3gnt5"
"Scamp2",3.12437143651112e-27,0.26218772251274,0.537,0.222,8.75605095082241e-23,"11","Scamp2"
"Psmg4",4.13807330373527e-27,0.356188278651715,0.537,0.239,1.15969504337181e-22,"11","Psmg4"
"Pde4b2",6.14298773703421e-27,0.369882398404511,0.766,0.413,1.72157231330384e-22,"11","Pde4b"
"Arpp191",9.62078630779672e-27,0.359672139491564,0.984,0.782,2.69622536276003e-22,"11","Arpp19"
"Sphk1",1.01567929096055e-26,0.265479748167184,0.258,0.074,2.84644121291695e-22,"11","Sphk1"
"Sel1l1",1.03288726943596e-26,0.284652026184819,0.594,0.262,2.89466657259426e-22,"11","Sel1l"
"Cflar2",2.72797502484932e-26,0.369494679756822,0.766,0.38,7.64515000714021e-22,"11","Cflar"
"Lamp12",2.84536812613029e-26,0.483280995235679,0.898,0.612,7.97414417348015e-22,"11","Lamp1"
"Csrp12",2.97848667893321e-26,0.563992822507088,0.627,0.316,8.34720891771032e-22,"11","Csrp1"
"Arap2",3.3654243890203e-26,0.306782738439909,0.566,0.249,9.43160185022939e-22,"11","Arap2"
"Pira23",3.82303019452888e-26,0.377591261322898,0.357,0.13,1.07140421201672e-21,"11","Pira2"
"Sat12",3.97773066576067e-26,0.433423647391065,0.971,0.684,1.11475901907943e-21,"11","Sat1"
"Pik3r51",4.15389453868598e-26,0.304591315375818,0.574,0.255,1.16412894446675e-21,"11","Pik3r5"
"Coro1b2",9.82502536437593e-26,0.359138370365585,0.721,0.363,2.75346335836635e-21,"11","Coro1b"
"D17Wsu92e",1.03727325595575e-25,0.28708263964411,0.578,0.257,2.906958299816e-21,"11","D17Wsu92e"
"Nenf",1.28089144111336e-25,0.263669185290177,0.586,0.262,3.58969826372018e-21,"11","Nenf"
"Snrnp27",1.47541734271539e-25,0.305261522807749,0.68,0.33,4.13485710295989e-21,"11","Snrnp27"
"P2rx42",1.80850149117691e-25,0.253744199284877,0.488,0.198,5.0683254290233e-21,"11","P2rx4"
"Rsu1",2.39801618632102e-25,0.315828938649948,0.623,0.291,6.72044036216467e-21,"11","Rsu1"
"Birc31",3.20504883191533e-25,0.286095325865524,0.656,0.311,8.98214935144271e-21,"11","Birc3"
"Prkcd3",3.67401845029244e-25,0.268855481423393,0.619,0.278,1.02964367069446e-20,"11","Prkcd"
"Helz2",4.26097759533727e-25,0.26984716256559,0.316,0.105,1.19413897109327e-20,"11","Helz2"
